Termo,Freq1,Freq2,Freq3,Freq4,Freq5,Freq6,Freq7
uti,49,0,0,0,0,0,0
"uso, usa, usar, usado",48,0,34,19,41,24,28
"pessoas, pessoa",53,23,34,46,41,35,26
alta,43,0,0,0,0,0,0
"cloroquina, hidroxicloroquina, hydroxychloroquine",89,22,37,66,157,73,60
"pacientes, paciente",42,6,27,0,15,0,0
🙏,37,0,0,0,0,0,0
deus,36,13,9,0,0,10,35
quatro,34,0,0,0,0,0,0
"coronavírus, coronavirus, corona",39,24,36,0,12,8,0
sp,27,0,0,0,0,0,0
ser,24,14,34,24,35,36,35
brasil,23,0,11,0,22,11,15
fake,23,20,0,0,0,9,0
gente,20,9,12,14,21,19,23
"covid-19, covid",19,11,22,23,60,17,17
vírus,19,0,18,28,0,9,0
remédio,18,23,40,29,41,12,13
verdade,17,13,0,11,0,0,13
ver,17,16,0,9,0,9,10
texto,15,0,0,19,15,30,10
todos,15,8,14,23,21,0,12
"notícias, noticia",22,6,0,0,0,0,0
"medicamento, medicamentos, medicação",14,19,51,13,27,12,0
contra,13,18,13,12,16,10,10
"hospital, hospitalização",22,0,0,0,0,0,0
agora,13,7,9,22,19,9,21
😂,13,9,0,0,47,39,0
"diz, dizendo",13,11,0,16,30,37,18
porque,12,0,15,10,20,8,0
pandemia,12,0,9,0,0,0,0
população,12,0,0,0,0,0,0
graças,12,0,0,0,0,0,0
👏,12,0,0,0,0,0,0
saúde,12,0,15,10,0,0,12
casos,11,0,0,0,0,0,0
amém,11,0,0,0,0,0,0
"morre, morreu, morrer, mortes",21,12,0,0,30,19,0
"estudo, estudos",10,10,0,32,37,28,9
mundo,10,6,14,13,14,15,0
bom,9,5,0,0,0,0,10
"tomar, toma, tomaria, tomando",9,0,29,12,137,20,13
"cura, curar, curam",9,20,13,34,0,0,0
"bolsonaro, bozo",9,0,0,0,29,25,47
"dias, dia",9,0,28,19,0,0,0
"médicos, médica, médico",9,6,59,36,50,8,71
nada,8,0,19,17,15,12,10
record,0,29,0,0,0,0,0
certo,0,15,12,0,0,8,12
"sabe, saber",0,10,28,10,13,11,13
aqui,0,8,14,9,12,0,18
melhor,0,8,0,0,0,0,12
presidente,0,8,0,0,16,25,30
testes,0,7,0,0,0,26,0
news,0,6,10,0,0,0,0
"chinês, china",0,6,0,11,0,0,0
funciona,0,5,0,16,0,0,0
casa,0,5,0,12,0,0,0
colaterais,0,0,21,0,19,0,0
efeitos,0,0,19,12,23,0,0
"faz, fazendo, fazer, fez",0,0,25,26,37,24,41
bem,0,0,15,15,0,11,14
anos,0,0,14,11,0,0,14
tratamento,0,0,14,14,19,0,13
mandetta,0,0,13,0,0,0,0
receita,0,0,13,0,0,0,0
"fala, falar",0,0,12,12,0,8,26
"nenhum, nenhuma",0,0,11,0,0,9,0
dr,0,0,11,0,0,0,0
"resultados, resultados",0,0,9,11,0,0,0
alho,0,0,0,52,0,0,0
cebola,0,0,0,23,0,0,0
🤣,0,0,0,18,0,18,51
dexametasona,0,0,0,17,0,0,0
sempre,0,0,0,16,0,0,0
sintomas,0,0,0,14,0,0,0
"corticoide, corticóide",0,0,0,25,0,0,0
vários,0,0,0,14,0,0,0
cru,0,0,0,13,0,0,0
amiga,0,0,0,13,0,0,0
suco,0,0,0,13,0,0,0
nunca,0,0,0,13,13,0,12
trump,0,0,0,0,46,0,0
zinco,0,0,0,0,19,0,0
eficaz,0,0,0,0,16,0,0
"preventivamente, prevenção",0,0,0,0,32,0,0
quiser,0,0,0,0,16,0,0
povo,0,0,0,0,15,11,17
malária,0,0,0,0,14,0,0
combinação,0,0,0,0,13,0,0
"ciência, cientistas",0,0,0,0,12,9,0
indica,0,0,0,0,12,0,0
tempo,0,0,0,0,12,8,10
oms,0,0,0,0,0,19,0
razão,0,0,0,0,0,16,0
gado,0,0,0,0,0,15,0
governo,0,0,0,0,0,12,0
cara,0,0,0,0,0,9,13
pt,0,0,0,0,0,8,14
"recomenda, recomendar",0,0,0,0,0,0,30
