Usuário,Reply,Conteúdo,Reações,Editado
Ana Maria Flório De Moraes,,Ta com medinho agora ja ferrou com muota gente não adianta mais,2,FALSE
Amanda Lieb,,Ele é uma vergonha sem precedentes,1,FALSE
Patri Contente,Amanda Lieb,vergonha é ser roubado.,0,FALSE
Amanda Lieb,Patri Contente,também! Lula na cadeia e Bolsonaro num manicômio,0,FALSE
Jun-Young Kim,,Não é vergonha . O mais certo é a recomendação dos médicos mesmo lá fora barrando os remédios,0,FALSE
Emanuele Vassoler,,mesmo com todo apoio médio tá passando mal com a bosta da cloroquina kkkkkkkkkkkkkkkkkkkkkkkkkk,0,FALSE
Cristina Santos,,Olha presidente com muitas pessoas deu certo a cloroquina não esquenta gente inútil enche o saco mesmo,7,FALSE
Filipe Barbosa Litaiff,Cristina Santos,fonte: cabecinha perturbada,1,FALSE
Cristina Santos,Filipe Barbosa Litaiff,a sua só se for,0,FALSE
Eulália Alves Fogaça,,Fontes: “vozes da minha cabeça” nem sempre tão lúcida.,0,FALSE
Mery Borges Lima,Cristina Santos,amei vc !!!!,0,FALSE
Rosimeri Aparecida Neris Gurkewicz,,Ou é fake ou essa criatura é louco.,0,FALSE
Caio Sanches,,Ele n eh médico kkkk ...tá certo ele ueh !!!,2,FALSE
Cristina Santos,,O povo meficre meu Deus não tem o que fazer,1,FALSE
Patri Contente,,"Ele tomou, minutos famosos tomaram, conheço muita gente q tomou. ELE É A FAVOR DO USO. QUEM RECOMENDA É O MÉDICO.",3,FALSE
Guilherme Toledo,,Vcs tem cérebro?,0,FALSE
Jaír Bezerra,,Não recomenda mais a cloroquina. Nenhuma descrição de foto disponível.,0,FALSE
Padilha Giovanna,,"Claro que não, ele não é médico  🤷‍♂️ quem prescreve é o médico. Só distorceram as palavras dele.",4,TRUE
Vando Couto Fernandes,Padilha Giovanna,"o médico receita, recomendar qualquer um pode recomendar, não pode receitar",1,FALSE
Padilha Giovanna,Vando Couto Fernandes,"foi oq ele disse, pena que as mulas distorcem oq ele diz  🤦‍♀️  🤦‍♀️",2,FALSE
Tarciso Marques Caldeira Junior,,"Mas ele distorce a ciência o tempo todo! Normal tomar uma invertida! Viu o videozinho dele tomando a terceira dose? Então ele tem q incentivar a tomar, pois HCQ pra dar com pau no Brasil, pra 18 anos!! Kkkkk",0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"até cientistas contestam estudos uns dos outros, imagine a gente, mero mortal!  🤷‍♂️  🤣 Já estudei essa área e sei oq estou dizendo",0,TRUE
Tarciso Marques Caldeira Junior,Padilha Giovanna,por isto q existe uma situação que se chama metanálise! A metanálise diz qual o melhor caminho a seguir!,0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"exatamente, porém o que não serviu pra um país, não quer dizer que não vai servir pra outro. Clima diferente, vírus sofreu várias mutações até chegar aqui e etc. Minha cidade de 400 mil habitantes deu parecer favorável, pq aqui funcionou, algumas regiões de RJ onde não usaram, tiveram mortalidade de até 12%.",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,pq vc acha q o Einstein proibido o uso off label da HCQ?,0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,e pq não divulgou o tratamento dos pacientes do alto escalão?  🤷‍♂️,0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,pq hospitais particulares do Rio que usaram hcq tem taxa de mortalidade baixíssima e os do SUS que não usaram bem altas? No mínimo suspeito,0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"o ensaio clínico com HCQ foi feito lá, talkey! Então acredito q saibam bem a eficácia ... Aí proibiram ....  🤷🏾‍♂️  🤷🏾‍♂️  🤷🏾‍♂️  🤷🏾‍♂️",1,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,https://cgn.inf.br/noticia/associacao-medica-da-parecer-favoravel-para-protocolo-de-hidroxicloroquina-em-cascavel Vou por fontes pq é mais fácil do que discutir  🥱  🥱  🥱  Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN CGN.INF.BR Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN Associação Médica dá parecer favorável para protocolo de hidroxicloroquina em Cascavel - CGN,0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"da onde vc tirou estas informações? Qro mais avança a pandemia maia expertise os médicos desenvolvem e mais vidas são salvas... E meio esquisito achar q a HCQ é a bala de prata! Outra coisa , hospitais particulares não são referência de tratamento pra COVID e recebem muito menos pacientes!! A HCQ nem nos EUA funcionou, mas aki em terras tupiniquins, com um monte de negacionista e anti ciência a coisa muda!!",0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"tu é de SP né? Como é que está a taxa de mortalidade aí? Aqui estamos usando e está tudo tranquilo até o momento, já vc, pode dizer o mesmo?",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,parecer? 🤣  🤣  🤣  🤣  🤣,0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,minha cidade é quase 100 SUS  🤣,0,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"é duro ver um jornal da globo divulgar isso né meu filho, engole seco  🤣  🤣  🤣  🤣  🤣",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,Paraná tranquilo? Tendi...  🤣  🤣  🤣  🤣 Pra eficácia da Cloroquina tar tão altas falta testes pra COVID,0,FALSE
Padilha Giovanna,"Temos dados, parecer favorável e etc...sem mais delongas, fique aí chorando e nadando na ilusão de que vai se curar sozinho",,0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"nestas horas separarmos o joio do trigo! Médico q não se atualiza e nem se da ao trabalho de ler artigos e papers sobre a evolução da doença e tratamento da estes pareceres meio... Estranhos!!! Mas fica aí em Cascavel na paz e o Mito disse hj q não vai mais receitar mais a HCQ, vai deixar proa médicos !!!!",1,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"então quer dizer que temos mais casos, com os mesmos óbitos 😨  😨  😨 Seguindo sua linha de raciocínio a taxa de mortalidade daqui é mais baixa do que imaginamos,  😱  😱  😱",0,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,meu Deus do céu! Negacionista é o inferno na terra né minha filha!! Grupo de zap bolsonarista tem informações em tempo real e dezembro qualidade né... Kkkkk.... discutir com gente atualizada pela tia do zap é pra acaba !!!,1,FALSE
Tarciso Marques Caldeira Junior,Padilha Giovanna,"por gentileza vc pode enviar pro pessoal do parecer aí em Cascavel este pré print duplo cego randomizado do estudo de HCQ em pacientes com COVID-19? Ajude a salvar vidas com maneiras séria de lidar com a medicina!Achismo vc deixa pra vc, pros outros o q vale é a ciência e salvar vidas! Vc pode entregar por gentileza, pois vidas serão salvas https://t.co/cNn5vXC98I?amp=1",1,FALSE
Padilha Giovanna,Tarciso Marques Caldeira Junior,"São médicos de humanos não veterinário, acha mesmo que iriam colocar a carreira em jogo?...  🤦‍♀️  🙆 Se esforça mais um pouquinho.",0,FALSE
