,Termo,Frequência Absoluta,Frequência Relativa (%)
102,🤣,51,2.58
24,cloroquina,47,2.37
12,bolsonaro,47,2.37
45,médico,39,1.97
8,ser,36,1.82
49,deus,35,1.77
26,presidente,30,1.52
57,uso,28,1.41
4,gente,23,1.16
1,agora,21,1.06
58,recomenda,20,1.01
76,diz,19,0.96
16,médicos,19,0.96
126,aqui,18,0.91
192,covid,17,0.86
47,povo,17,0.86
28,pessoas,17,0.86
50,fazer,17,0.86
718,beira,15,0.76
719,mar,15,0.76
92,brasil,15,0.76
154,bem,15,0.76
717,citado,15,0.76
528,falar,15,0.76
93,anos,14,0.71
172,hidroxicloroquina,14,0.71
383,remédio,14,0.71
416,pt,14,0.71
404,fez,14,0.71
525,coisas,13,0.66
519,verdade,13,0.66
144,tratamento,13,0.66
630,toma,13,0.66
170,médica,13,0.66
333,sabe,13,0.66
409,cara,13,0.66
1094,todos,12,0.61
14,certo,12,0.61
759,saúde,12,0.61
403,nunca,12,0.61
6,vergonha,12,0.61
111,melhor,12,0.61
130,parecer,11,0.56
569,texto,11,0.56
526,fala,11,0.56
22,mal,11,0.56
209,ver,11,0.56
71,recomendar,10,0.51
550,pessoa,10,0.51
436,faz,10,0.51
56,favor,10,0.51
80,tempo,10,0.51
486,bom,10,0.51
422,contra,10,0.51
870,vamos,10,0.51
194,menos,10,0.51
606,nada,10,0.51
10,lula,9,0.45
922,fazendo,9,0.45
273,estudo,9,0.45
59,vcs,9,0.45
374,mundo,9,0.45
173,cascavel,9,0.45
1297,🤬,9,0.45
330,vezes,9,0.45
94,kkkkk,8,0.4
434,político,8,0.4
90,hcq,8,0.4
540,ninguém,8,0.4
789,política,8,0.4
232,doença,8,0.4
990,homem,8,0.4
117,país,8,0.4
313,ivermectina,8,0.4
488,deveria,8,0.4
131,favorável,8,0.4
1034,medicamento,8,0.4
105,sei,7,0.35
121,vírus,7,0.35
171,protocolo,7,0.35
799,porque,7,0.35
39,sempre,7,0.35
1068,oms,7,0.35
469,história,7,0.35
460,falando,7,0.35
1170,vida,7,0.35
184,vidas,7,0.35
405,propaganda,7,0.35
241,casos,7,0.35
602,dia,7,0.35
46,kkkk,7,0.35
186,meio,7,0.35
376,usa,7,0.35
1003,precisa,7,0.35
82,tomar,7,0.35
649,hospital,7,0.35
721,si,6,0.3
548,sistema,6,0.3
973,🤷🏼‍♀️,6,0.3
727,😆,6,0.3
594,procurar,6,0.3
280,medicina,6,0.3
256,grupo,6,0.3
1955,victormilliose,6,0.3
253,inferno,6,0.3
830,defendeu,6,0.3
1496,retardado,6,0.3
168,discutir,6,0.3
180,pandemia,6,0.3
638,remdesivir,6,0.3
364,usar,6,0.3
51,tomou,6,0.3
84,viu,6,0.3
393,kkk,6,0.3
188,achar,6,0.3
38,cabeça,6,0.3
484,querem,6,0.3
236,paz,6,0.3
174,cgn,6,0.3
169,associação,6,0.3
344,matéria,6,0.3
761,mundial,5,0.25
211,globo,5,0.25
138,acha,5,0.25
191,referência,5,0.25
1339,nome,5,0.25
145,pacientes,5,0.25
271,cego,5,0.25
928,chamada,5,0.25
749,muitos,5,0.25
628,🙄,5,0.25
257,zap,5,0.25
518,governo,5,0.25
137,mortalidade,5,0.25
358,idiota,5,0.25
91,pau,5,0.25
107,existe,5,0.25
554,guerra,5,0.25
908,errado,5,0.25
310,boa,5,0.25
341,livre,5,0.25
998,maioria,5,0.25
447,acho,5,0.25
305,dias,5,0.25
1124,caso,5,0.25
86,tomando,5,0.25
424,apoiar,5,0.25
79,ciência,5,0.25
366,lê,5,0.25
1097,ficou,5,0.25
505,realmente,5,0.25
1611,responder,4,0.2
365,medicação,4,0.2
1399,🤦🏻‍♀️,4,0.2
437,vivo,4,0.2
235,fica,4,0.2
1139,certeza,4,0.2
674,pior,4,0.2
228,ler,4,0.2
1610,curtir,4,0.2
205,tranquilo,4,0.2
1030,países,4,0.2
626,quis,4,0.2
1031,grandes,4,0.2
425,resposta,4,0.2
572,novo,4,0.2
1383,corruptos,4,0.2
431,alguma,4,0.2
1602,santos,4,0.2
768,postura,4,0.2
1601,cristina,4,0.2
1112,mortes,4,0.2
1816,recordes,4,0.2
629,recomendo,4,0.2
607,disso,4,0.2
269,print,4,0.2
1467,mimimi,4,0.2
705,traficantes,4,0.2
288,colocar,4,0.2
1107,qdo,4,0.2
1704,bula,4,0.2
298,imagina,4,0.2
410,vi,4,0.2
691,honesto,4,0.2
274,covid-19,4,0.2
399,recomendando,4,0.2
375,inteiro,4,0.2
429,nenhum,4,0.2
687,negativo,4,0.2
985,rede,4,0.2
1815,bater,4,0.2
372,sai,4,0.2
1336,mandou,4,0.2
461,merda,4,0.2
318,infelizmente,4,0.2
631,quiser,4,0.2
441,cientificamente,4,0.2
613,ridículo,4,0.2
729,dando,4,0.2
327,sabia,4,0.2
251,😱,4,0.2
439,casa,4,0.2
329,desculpa,4,0.2
1400,conhece,4,0.2
593,manda,4,0.2
476,dilma,4,0.2
802,palhaço,4,0.2
935,mudar,4,0.2
1501,👏🏾,4,0.2
485,difícil,4,0.2
559,estar,4,0.2
521,parece,4,0.2
1504,perfil,4,0.2
852,pé,4,0.2
1280,graças,4,0.2
166,🤷🏾‍♂️,4,0.2
65,claro,4,0.2
164,eficácia,4,0.2
800,ajuda,4,0.2
492,pmdb,4,0.2
1215,ué,4,0.2
561,votei,4,0.2
70,receita,4,0.2
72,receitar,4,0.2
73,pena,4,0.2
809,sensato,4,0.2
929,tendenciosa,4,0.2
543,vê,4,0.2
150,rio,4,0.2
1595,cavalo,4,0.2
127,cidade,4,0.2
818,morte,4,0.2
781,desde,4,0.2
123,várias,4,0.2
18,remédios,4,0.2
1048,poder,4,0.2
942,😥,4,0.2
106,dizendo,4,0.2
1035,outras,4,0.2
104,área,4,0.2
651,estados,3,0.15
1676,nível,3,0.15
1011,causa,3,0.15
323,humano,3,0.15
1564,mão,3,0.15
644,medicamentos,3,0.15
1680,jumento,3,0.15
81,normal,3,0.15
442,argumentos,3,0.15
115,porém,3,0.15
1945,internacional,3,0.15
320,uti,3,0.15
114,exatamente,3,0.15
1231,nico,3,0.15
1065,buttar,3,0.15
595,ficam,3,0.15
98,uns,3,0.15
332,alguns,3,0.15
1067,nivel,3,0.15
