content,stance
"mentira é o que vc está dizendo, minha mãe tomou por 10 anos e não teve nenhum efeito colateral",Positivo
pesquise antes de dizer que é mentira. https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
🙏 🙏 🙏,Positivo
O brasileiro será cobaia para o mundo 🙁,Negativo
Fala que é verdade ❤,Positivo
Tomara,Positivo
Glória a Deus,Positivo
"No jornal nacional comunista,só fala de mortes do corona é nenhum curado",Positivo
"então, mas graças a Deus temos mtos",Positivo
Fonte?,Neutro
basta vc deixar de vê a globo e seus Jornais mequetrefe,Positivo
Fake News,Negativo
não é fake https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
"Não é cloroquina, é a hidroxicloroquina com azitromicina, mesmo assim estou bastante esperançosa...",Positivo
sim e associado com azitromicina. Tbm estou esperançosa 🙏,Positivo
"os próximos dez dias vão nos mostrar... Ainda que não seja a cura, se for um alívio, se impedir os pacientes de morrer ou de evoluir pra algo grave, já nos ajudará a enfrentar esse mal...",Positivo
"vdd, vamos torcer 🙏",Positivo
Esse remédio será nossa esperança ❤ 🙏,Positivo
Passa a fonte p gente,Neutro
https://www.uol.com.br/vivabem/noticias/redacao/2020/03/26/quatro-pacientes-de-uti-tiveram-alta-em-sp-com-uso-de-hidroxicloroquina.htm  Quatro pacientes de UTI tiveram alta em SP com uso de hidroxicloroquina UOL.COM.BR,Positivo
Amém,Positivo
Esse é o remédio pra cura do coronavírus e é fabricado no Brasil 🇧🇷 eu conheço esse remédio é pra quem tem lupo,Positivo
Mentira!,Negativo
não,Positivo
