content,stance
Up,Neutro
Glória a Deus!!!,Positivo
eu acredito,Positivo
👏  👏  👏,Positivo
Up,Neutro
Up,Neutro
pq fake News?,Neutro
"é verdade, vi no jornal",Positivo
"A imagem pode conter: 2 pessoas, pessoas em pé",Neutro
procura no R7 se informa,Positivo
"A imagem pode conter: 1 pessoa, texto que diz ""u!"" /P RECEBEM PACIENTES TRATADOS COM CLOROQUINA ALTA DA UTI EM SÃO PAULO""",Positivo
Acabou de passa no jornal,Positivo
Não é fake !,Positivo
"pq não é verdade, todos foram tratados com muitas medicações além de cloroquina, esse fato é mentira, tentam respons",Negativo
Não é fake deu agora na Record,Positivo
é sim,Negativo
não deu dessa forma é fake,Negativo
Moça sou de Rondônia,Positivo
até entendi desculpa ..,Neutro
E acabei de vê que é verdade,Positivo
A moça dando entrevista,Positivo
Ela foi curada com cloroquina e azitromicina,Positivo
"já li sobre isso o dia todo, é fake, os pps médicos disseram pra ter cautela, que outras medicações foram associadas, não dá pra saber",Negativo
Passou no plantão da Record agora a pouco. Não tem nada de fake aí não moça.,Positivo
"é verdade, foi matéria na Record.",Positivo
"Aff cada uma, a tv ia mostrar no ar se fosse fake  🙄",Positivo
cara passou na Record .....médicos Afirmou ....e mesmo assim é fake News pra você ....qual é o Teu problema ?,Positivo
vc e médica ?,Positivo
Acabou de passar na record,Positivo
Deve ser mais Uma Com Bosta na Cabeça! Então quer dizer que os médicos estão mentindo....os Cientistas estão mentindo e so você a Loirona esta certa?,Positivo
https://noticias.r7.com/saude/homem-morre-ao-se-automedicar-com-cloroquina-para-curar-covid-19-24032020  Homem morre ao se automedicar com cloroquina para curar covid-19 NOTICIAS.R7.COM Homem morre ao se automedicar com cloroquina para curar covid-19 Homem morre ao se automedicar com cloroquina para curar covid-19,Negativo
"cada organismo reage de um jeito. Na Italia estão testando. Uma conhecida de Bologna disse q no hospital onde ela trabalha nao deu certo, já em outros na Italia deu certo. Depende do organismo de cada um.",Positivo
Tenham consciência!,Neutro
Tudo desse povo é fake  😂  😂  😂  😂,Positivo
Ah vai lavar uma louça! Deixa a gente ter esperança,Positivo
pode ser com outros remédios mas foi curada ! Além da cloroquina tem outros medicamentos no tratamento ninguém está dizendo que vai sair tomando cloroquina e azitromicina por aí ... Mais que está passando na tv está,Positivo
Tudo que é bom é fake kkkkkkkk,Positivo
"um tiro no escuro, vc ta entre a vida é a morte, se tratar pode dar certo se não testar a pessoa já morrendo.",Positivo
Acabou de passar no jornal mesmo,Positivo
"é diferente você se automedicar achando que está tomando paracetamol, ela tomou reuquinol junto com antibiótico (azitromicina). Vamos manter a fé que isso será a cura para todos os doentes .",Positivo
Gente só eu que tenho náuseas de ouvir essas palavras FAKE NEWS? Tudo pra esse povo é isso agora! Chato pra cacete,Positivo
Engraçado que só o r7 do Edir Macedo que dá a notícia dessa forma! Todos os outros portais explicam que os testes ainda são iniciais. E muitos outros medicamentos foram utilizados de forma associada,Negativo
"só dá Record pq interessa ao Bozo né, não acreditem nisso!",Negativo
"pessimista tá loko, sai de ré",Positivo
https://noticias.r7.com/saude/homem-morre-ao-se-automedicar-com-cloroquina-para-curar-covid-19-24032020  Homem morre ao se automedicar com cloroquina para curar covid-19 NOTICIAS.R7.COM Homem morre ao se automedicar com cloroquina para curar covid-19 Homem morre ao se automedicar com cloroquina para curar covid-19,Negativo
Pessoas já morreram acreditando nessa estória!;,Negativo
Vixe ainda é esquerdista kkk,Positivo
não e fake estava passando na Record eu vi,Positivo
e eu vou morrer com esse português seu,Positivo
quem morreu pq tomou remédio em casa se auto medicando,Neutro
"não envolve religião ou fulano ou ciclano pra ter argumento, não seja ridícula! Vc tá criticando a página, e tá postando link da mesma dizendo que uma pessoa morreu, pq somente essa notícia que vc tá postando é verdadeira e as outras não?… Ver mais",Positivo
não é fake acabou de passar no jornal na tv acabei de assistir,Positivo
na Record não acreditem ! Só na Globo  😂  😂  😂  😂  😂,Positivo
concordo com vc,Negativo
"Olha minha ex professora, enfermeira foi contaminada, está em estado gravíssimo em SP, eis que o quadro está se mantendo....azitromicina e depois vai ver o estado dela para utilizar nela cloroquina",Positivo
o que difere o remédio e o veneno é a dose!!!!! Tomar remédio sem prescrição médica pode ser fatal... FATO.,Neutro
"Já estava tão feliz , quê fosse vdd ,essa moça vem falar quê é mentira !!! Deixa nós com a esperança moça por favor, vamos acreditar quê tudo vai caminhar bem com esse remédio!",Positivo
