content,stance
Não,Negativo
Vindo dele nunca aceitaria nada.,Negativo
Não sei se acredito nele.,Negativo
Acho que alguém vai morrer,Negativo
obaaaaaaaaa,Negativo
kkkk,Neutro
"Donald Trump está fazendo jogada com seu gado. Nada mais, nada menos.",Negativo
Quem toma aumenta risco de morte por causar elevação de risco cardíaco,Negativo
Como preventivo- controle do stress,Positivo
Ele também afirmou que está tomando purgante por precaução.,Neutro
"Engraçado... Trump e Bolsonaro são os embaixadores da cloroquina, já liberaram para uso geral na população e os dois paises encabeçam a lista de maiores números de mortes, será pq?",Negativo
Pq eles estão matando a população  🤷,Negativo
"ele n sei..mas se precisar,yomo,bem,ja tomei ivermectina e td protocolo como prevençao.",Positivo
Qual seria a dose preventiva? Vou pedir ao meu médico! Faz todo sentido!,Positivo
"para malária é um comprimido por semana. Para covid ninguém sabe se tem resultado, pq não se sabe quanto tempo antes precisaria tomar, é tudo achismo por enquanto. Fizeram um teste em vitro que deu bom resultado, mas em pessoas pode ser diferente. https://noticias.uol.com.br/ultimas-noticias/ansa/2020/03/30/teste-com-hidroxicloroquina-na-italia-da-resultado-positivo.htm Teste com hidroxicloroquina na Itália dá resultado positivo NOTICIAS.UOL.COM.BR Teste com hidroxicloroquina na Itália dá resultado positivo Teste com hidroxicloroquina na Itália dá resultado positivo",Negativo
"vc me parece estar na meia idade, considere problemas cardíacos, renais e oculares.",Neutro
Né,Neutro
https://oglobo.globo.com/mundo/donald-trump-avisa-que-vai-parar-de-tomar-cloroquina-1-24437559 Donald Trump avisa que vai parar de tomar cloroquina OGLOBO.GLOBO.COM Donald Trump avisa que vai parar de tomar cloroquina Donald Trump avisa que vai parar de tomar cloroquina,Neutro
"Ele é outro controvertido..,Sempre dou um desconto no que ele fala...",Neutro
Depois de TD q senti e ainda sinto eu tomaria várias vezes ao dia,Positivo
"vc, provavelmente, não tem problema renal, cardíaco e ocular. Se tivesse se preocuparia.",Neutro
"Não entendo muito, mas acho desnecessário seria. Igual tomar vitamina sem necessidade ... no caso pior né... Eu penso o seguinte se ele precisar não vai fazer efeito ...",Negativo
"Depois do trabalho do Lancet, uma das maiores revistas de medicina, com 96000 pacientes no mundo todo, e que observou que a cloroquina e a hidroxicloroquina não só são ineficientes, como pioram a chance do paciente sobreviver, podemos deixar a esperanç…Ver mais Chloroquine or hydroxychloroquine for COVID-19: why might they be hazardous? THELANCET.COM Chloroquine or hydroxychloroquine for COVID-19: why might they be hazardous? Chloroquine or hydroxychloroquine for COVID-19: why might they be hazardous?",Negativo
estudo fake! Veja o meu vídeo.,Positivo
