content,stance
So para rico não para pobre,Neutro
dexametasona tem em qq farmácia,Neutro
Estou falando do hospital moça não de remedio.,Neutro
"Enquanto eles anunciam todos os medicamentos que podem combater a multiplicação do vírus, as farmácias do Brasil todo vendendo e faturando",Neutro
Ue não funcionou na Prevent sênior?,Negativo
"Não para todos, pessoas com problemas cardíacos e renais não poderiam receber a medicação. Fora que muitos receberam no começo dos sintomas e não quando estava se agravando",Neutro
o Ficaria já divulgou uma pesquisa onde mostra que a Cloroquina e a Hidroxocloroquina não melhora a recuperação de pacientes do COVID-19.,Negativo
La era aplicado um coquitel.. n só a cloroquina..,Neutro
"https://revistacrescer.globo.com/Criancas/Saude/noticia/2020/04/hidroxicloroquina-e-o-tratamento-mais-eficaz-contra-o-coronavirus-atualmente-disponivel-segundo-pesquisa-internacional-feita-com-6-mil-medicos.html A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicosREVISTACRESCER.GLOBO.COM A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicos. A hidroxicloroquina é o tratamento mais eficaz contra o coronavírus atualmente disponível, segundo pesquisa internacional feita com 6 mil médicos",Positivo
"Qual delas, tem 65 pesquisas para você verificar? https://saude.estadao.com.br/noticias/geral,65-estudos-cientificos-investigam-efeitos-da-cloroquina-contra-covid-19-so-3-foram-finalizados,70003267545  65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão SAUDE.ESTADAO.COM.BR 65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão. 65 estudos científicos investigam efeitos da cloroquina contra covid-19; só 3 foram finalizados - Saúde - Estadão",Positivo
Se o seu filho estivesse na UTI e você tivesse que escolher entre medicar com Hidroxicloroquina ou esperar estudos científicos. O que escolheria?,Positivo
medicação sem duvida,Positivo
Ja usei essa dexametasona(pomada),Neutro
Uso veterinário?,Neutro
A galera já faz uso do ivomec  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣  🤣,Neutro
nao. Xarope pra tosse uso pro meu filho,Neutro
blz,Neutro
"Dexametasona não é veterinário ,se informe.",Neutro
Parem de matar as pessoas usem alho e cebola cru que raiva disso,Neutro
"Aí já é curandeirismo  😉 Mesmo que funcione como preventivo, não tem o registro na Anvisa  😁",Neutro
E você acha que Anvisa vai aprovar esqueça os pais da medicina já falavam tenho passado pra bastante gente que está com coronavirus e com suspeita eles me relatam que obten melhora em 5 dias e usam pelo menos 15 dias 3 dentes pela manhã e 3 dentes pel… Ver mais,Positivo
Eu digo faz e comprova os benefícios alho dificilmente alguém terá alergia todos usam como tempero.,Neutro
"A imagem pode conter: texto que diz ""11:56 luciliadiniz.com LUCILIA DINIZ Imagem médico grego Galeno de Pérgamo Para Galeno, se pessoa estivesse com os humores sem fluidez, a linfa em particular, precisaria comer mais cebola alho. Este raciocínio antecipou necessidade controlar colesterol, por exemplo. médico também tinha restrições ao consumo de leite pães, devido lactose glúten, mesmo sem saber da existência destas substâncias. A nutrição era considerada terceira arte médica, junto farmacologia ea cirurgia. Entre filósofos Platão (428 348 a.C.) escreveu sobre importância dos alimentos""",Neutro
Tenho muitos estudos sobre o alho e a cebola estudo a 8 anos seus efeitos em várias doses,Neutro
"E como podemos comer ? Tem q mastigar? Pq deve ser impossível mastigar , eu sempre tomo o chá de alho, cebola , limão , mel e gengibre. Funciona como chá tbm?",Neutro
vou lhe explicar amiga se você aquecer o alho em alta temperatura irá eliminar a alicina que é o Antibiotico do alho o ideal e comer cru faça um suco e coloca o dente de alho no liquidificador coloca laranja limão e mel e colo…Ver mais,Neutro
Existe alho em cápsulas. Eu tomo e realmente fortalece o sistema imunológico. Vc não pega gripe com facilidade. Vivi isso aqui em casa.Aumentando a dose deve combater sim.Pensei nisso com meu marido esses dias. Já fazemos supleme…Ver mais,Neutro
e se tu comer ele cru ou coloca lo no suco potencializa mas ainda seus efeitos,Neutro
eles falam que só pra imunidade mas não revelam tudo sobre o alho sabe porque ? É pra você ignora os efeitos não é lucro o alho e nem vantagem pra industria farmacêutica,Neutro
"Vou fazer isso. Tbm acredito q as indústrias farmacêuticas perdem muita grana com isso por isso só falam em medicamento manipulado. Considerando q toda medicação vem de alguma planta e Cia, devemos considerar sim seus efeitos positivos .... Eu acredito…Ver mais",Neutro
faça isso depois deixe seu depoimento pra que outras vidas sejam salvas através de seu relato amiga o que precisar me coloco a disposicao  😁,Neutro
"Se Deus quiser não vou pegar essa doença , e quem pegar q se cure . Masss se acontecer farei tudo o q tiver ao meu alcance e com certeza vou relatar . Obrigada 😘 😘",Neutro
